,,,Apple Inc.,Adobe Inc,AlarmCom Hldg Inc,"Amazon.com, Inc.",Arista Networks Inc,"Activision Blizzard, Inc.",AXT Inc,"Acuity Brands, Inc.",Cognex Corporation,Clean Energy Fuels Corp,Canadian National Railway,Walt Disney Co,"Facebook, Inc. Common Stock",Flex Ltd,Fortinet Inc,General Electric Company,Alphabet Inc Class C,"Hasbro, Inc.",Honeywell International Inc.,"Illumina, Inc.",IPG Photonics Corporation,iRobot Corporation,JD.Com Inc,Kinder Morgan Inc,Grand Canyon Education Inc,Lantronix Inc,Mastercard Inc,Marriott International Inc,3M Co,Match Group Inc,"Vail Resorts, Inc.",Nike Inc,Paycom Software Inc,PTC Inc,Paypal Holdings Inc,SAP SE,Starbucks Corporation,Splunk Inc,Teva Pharmaceutical Industries Ltd,T-Mobile Us Inc,Texas Instruments Incorporated,Texas Roadhouse Inc,Ulta Beauty Inc,Westinghouse Air Brake Technologies Corp,Workday Inc,Zebra Technologies Corp.
,,,AAPL,ADBE,ALRM,AMZN,ANET,ATVI,AXTI,AYI,CGNX,CLNE,CNI,DIS,FB,FLEX,FTNT,GE,GOOG,HAS,HON,ILMN,IPGP,IRBT,JD,KMI,LOPE,LTRX,MA,MAR,MMM,MTCH,MTN,NKE,PAYC,PTC,PYPL,SAP,SBUX,SPLK,TEVA,TMUS,TXN,TXRH,ULTA,WAB,WDAY,ZBRA
2018-01-01,2018-01-31,2018-01-31,41.86,199.76,38.38,1450.89,275.82,74.13,7.9,154.44,62.37,1.57,80.12,108.67,186.89,18.01,46.04,16.17,1169.94,94.57,157.89,232.64,251.95,88.75,49.23,17.98,92.99,2.19,169,147.34,250.5,34.94,218.56,68.22,91.64,72.68,85.32,113.25,56.81,92.37,20.41,65.1,109.67,58.72,222.1,81.04,119.89,123.16
2018-02-01,2018-02-28,2018-02-28,44.53,209.13,36.14,1512.45,269.74,73.13,7.48,142.58,53.71,1.39,77.37,103.16,178.32,18.1,50.47,14.11,1104.73,95.57,149.43,228.02,245.64,67.95,47.15,16.2,98.15,2.34,175.76,141.21,235.51,40.05,205.87,67.03,98.92,73.76,79.41,104.5,57.1,93.2,18.72,60.61,108.35,55.26,203.35,81.34,126.67,138.14
2018-03-01,2018-03-31,2018-04-02,41.67,212.28,37.36,1371.99,253.51,65.09,6.95,136.67,48.82,1.57,72.85,98.66,155.39,15.99,52.43,13.12,1006.47,83.75,140.85,229.93,224.92,63.6,39.08,14.9,103.97,2.01,171.6,132.07,212.62,42.75,219.27,64.12,103.88,76.71,75,103.29,56.24,97.37,16.77,59.62,100.65,57.24,203.13,79.78,125.24,137.4
2018-04-01,2018-04-30,2018-04-30,41.32,221.6,40.38,1566.13,264.55,66.35,5.85,119.77,46.25,1.61,77.28,100.33,172,13,55.36,14.07,1017.33,88.09,143.07,240.93,213.03,58.36,36.51,15.82,103.99,2.45,178.27,136.68,194.39,47.12,229.31,68.39,114.21,82.35,74.61,110.83,57.57,102.65,17.98,60.51,101.43,64.08,250.91,88.81,124.84,134.83
2018-05-01,2018-05-31,2018-05-31,46.72,249.28,44.43,1629.62,251.56,70.91,7.25,118.25,46.41,3.16,83.48,99.47,191.78,13.89,61.18,14.08,1084.99,86.75,146.27,272.44,241.27,62.41,35.18,16.68,111.1,3.26,190.12,135.36,197.23,41.15,243.14,71.8,105.47,86.24,82.07,112.79,56.67,110.81,21.5,55.7,111.91,61.97,246.91,97.51,130.96,153.51
2018-06-01,2018-06-30,2018-07-02,46.8,243.26,41.17,1713.78,261.36,77.28,7,117.12,44.5,3.65,81.85,105.33,197.36,13.93,63.93,13.37,1127.46,93.02,143.2,279.04,222.56,75.93,38.79,17.43,115.35,2.76,197.67,126.49,195.52,39.48,278.38,78.35,101.24,93.9,83.89,115.32,49.06,100.71,24.47,59.91,110.24,65.94,232.54,99.14,124.26,148.28
2018-07-01,2018-07-31,2018-07-31,47.57,244.68,42.87,1777.44,255.73,73.42,7.55,139.03,52.78,2.85,89.15,113.56,172.58,13.96,62.91,13.63,1217.26,99.61,157.88,324.36,164.04,79.25,35.86,17.78,116.53,2.67,198,127.84,212.32,36.12,276.87,76.91,106.25,91.91,82.14,116.04,52.39,96.1,23.94,60,111.32,62.84,244.39,110.32,124.02,137.93
2018-08-01,2018-08-31,2018-08-31,56.91,263.51,56.29,2012.71,298.98,72.1,7.9,152.84,53.8,2.75,88.91,112.02,175.73,13.79,83.76,12.94,1218.19,99.31,157.29,354.83,175.48,113.5,31.3,17.7,119.14,5.32,215.56,126.47,210.92,50.05,298.05,82.2,155.12,99.94,92.33,119.74,53.45,128.15,22.91,66.04,112.4,68.95,260,108.32,154.54,171.74
2018-09-01,2018-09-30,2018-10-01,56.82,275.49,56.91,2004.36,259.64,83.28,7.05,155.18,56.68,2.6,91.4,116.24,162.44,12.91,92.29,12.09,1195.31,105.69,166.44,366.54,155.62,110.92,25.49,18.18,113.33,4.01,223.77,128.35,212.19,56.56,265.66,84.46,150.8,105.87,87.55,123.27,55.58,117.56,21.46,70.25,107.74,67.72,282.96,103.98,145.87,173.2
